review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
10.0,10.0,10.0,10.0,10.0,10.0
9.0,10.0,10.0,10.0,10.0,10.0
10.0,9.0,10.0,10.0,10.0,10.0
10.0,10.0,9.0,10.0,10.0,10.0
10.0,10.0,10.0,9.0,10.0,10.0
10.0,10.0,10.0,10.0,9.0,10.0
10.0,10.0,10.0,10.0,10.0,9.0
8.0,10.0,10.0,10.0,10.0,10.0
10.0,8.0,10.0,10.0,10.0,10.0
10.0,10.0,8.0,10.0,10.0,10.0
10.0,10.0,10.0,8.0,10.0,10.0
10.0,10.0,10.0,10.0,8.0,10.0
10.0,10.0,10.0,10.0,10.0,8.0
9.0,9.0,10.0,10.0,10.0,10.0
9.0,10.0,9.0,10.0,10.0,10.0
9.0,10.0,10.0,9.0,10.0,10.0
9.0,10.0,10.0,10.0,9.0,10.0
9.0,10.0,10.0,10.0,10.0,9.0
10.0,9.0,9.0,10.0,10.0,10.0
10.0,9.0,10.0,9.0,10.0,10.0
10.0,9.0,10.0,10.0,9.0,10.0
10.0,9.0,10.0,10.0,10.0,9.0
10.0,10.0,9.0,9.0,10.0,10.0
10.0,10.0,9.0,10.0,9.0,10.0
10.0,10.0,9.0,10.0,10.0,9.0
10.0,10.0,10.0,9.0,9.0,10.0
10.0,10.0,10.0,9.0,10.0,9.0
10.0,10.0,10.0,10.0,9.0,9.0
